"Key","SourceString","DevComment"
"ar_knight_nameAdjective_t1","С укреплением",""
"ar_knight_nameAdjective_t2","С гиппарами",""
"ar_knight_nameAdjective_t3","Со стременем",""
"ar_knight_nameAdjective_t4","Джаггернаута",""
"ar_fighter_nameAdjective_t1","С уплотнением",""
"ar_fighter_nameAdjective_t2","С подкладом",""
"ar_fighter_nameAdjective_t3","Со знаком",""
"ar_fighter_nameAdjective_t4","С гордостью",""
"ar_bmage_nameAdjective_t1","С отделкой",""
"ar_bmage_nameAdjective_t2","С плакированием",""
"ar_bmage_nameAdjective_t3","С защитой",""
"ar_bmage_nameAdjective_t4","С прикрытием",""
"ar_rogue_nameAdjective_t1","Из льна",""
"ar_rogue_nameAdjective_t2","С псилосом",""
"ar_rogue_nameAdjective_t3","С удалью",""
"ar_rogue_nameAdjective_t4","С торакитосом",""
"ar_paladin_nameAdjective_t1","С узором",""
"ar_paladin_nameAdjective_t2","С филаком",""
"ar_paladin_nameAdjective_t3","С чарами",""
"ar_paladin_nameAdjective_t4","С охраной",""
"ar_sorcerer_nameAdjective_t1","Со знанием",""
"ar_sorcerer_nameAdjective_t2","С магией",""
"ar_sorcerer_nameAdjective_t4","С позолотой",""
"ar_sorcerer_nameAdjective_t3","Из шелка",""
"ar_bmage_nameMain_arms","Витки",""
"ar_bmage_nameMain_legs","Сапоги",""
"ar_bmage_nameMain_head","Колпак",""
"ar_bmage_nameMain_torso","Хитон",""
"ar_bmage_nameMain_shoulder","Плащ",""
"ar_knight_nameMain_legs","Наголенники",""
"ar_rogue_nameMain_legs","Сапоги",""
"ar_rogue_nameMain_arms","Браслеты",""
"ar_knight_nameMain_arms","Наручи",""
"ar_rogue_nameMain_torso","Корсет",""
"ar_knight_nameMain_torso","Кираса",""
"ar_rogue_nameMain_shoulder","Наплечники",""
"ar_knight_nameMain_shoulder","Наплечники",""
"ar_rogue_nameMain_head","Колпак",""
"ar_knight_nameMain_head","Шлем",""
"ar_fighter_nameMain_head","Шлем",""
"ar_pala_nameMain_head","Шлем",""
"ar_sorc_nameMain_head","Клобук",""
"ar_sorc_nameMain_shoulder","Плащ",""
"ar_fighter_nameMain_shoulder","Наплечники",""
"ar_pala_nameMain_shoulder","Наплечники",""
"ar_sorc_nameMain_arms","Витки",""
"ar_fighter_nameMain_arms","Браслеты",""
"ar_pala_nameMain_arms","Наручи",""
"ar_sorc_nameMain_legs","Сапоги",""
"ar_pala_nameMain_legs","Наголенники",""
"ar_fighter_nameMain_legs","Наголенники",""
"ar_sorc_nameMain_torso","Хитон",""
"ar_fighter_nameMain_torso","Торакс",""
"ar_pala_nameMain_torso","Кираса",""
"ar_bmage_flufftext","Волшебники это мастера тайных магий и колдовства, и в это мастерство входят и способы защиты от оных.",""
"ar_sorc_flufftext","Легкие одеяния из тонкой ткани, расшитые магическими символами.",""
"ar_rogue_flufftext","Легкая и крайне подвижная броня, предпочитаемая ворами и застрельщиками.",""
"ar_pala_flufftext","Доспехи необычайной красоты, созданные по образцу брони царской гвардии Спарты для защиты от божественной магии.",""
"ar_knight_flufftext","Тяжелые доспехи, предпочитаемые бронированными кавалеристами для отражения стрел и поглощения ударов меча.",""
"ar_fighter_flufftext","Солдатское снаряжение, обеспечивающее хорошее сочетание защиты и свободы движений.",""
"ar_startinggear_nameMain_torso","Туника",""
"ar_jewelry_default_nameMain_ring","Кольцо",""
"ar_jewelry_default_nameMain_neck","Ожерелье",""
"ar_jewelry_default_nameAdjective_mgt","Из железа",""
"ar_jewelry_default_nameAdjective_agi","С янтарем",""
"ar_jewelry_default_nameAdjective_knl","Из золота",""
"ar_gambling_all_nameAdjective","Загадочности",""
"ar_jewelry_ring_flavortext_mgt","Потертое и поцарапанное, но крепкое как никогда.",""
"ar_jewelry_ring_flavortext_agi","Янтарь привозят из далеких северных земель.",""
"ar_jewelry_ring_flavortext_knl","Стоит достаточно для оплаты погребения.",""
"ar_jewelry_neck_flavortext_mgt","Холодное и шершавое на ощупь.",""
"ar_jewelry_neck_flavortext_agi","Янтарь обладает успокаивающей тяжестью.",""
"ar_jewelry_neck_flavortext_knl","Сияет на солнце.",""
